id,rougeL_f1,emb_cosine,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall
0,0.051948051948051945,0.744577944278717,0.4,0.051948051948051945,0.051948051948051945,0.07766990291262137,0.07766990291262137
1,0.0,0.7410716414451599,0.25,0.0,0.0,0.08615384615384615,0.08615384615384615
2,0.09523809523809523,0.7619105577468872,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.06600660066006601,0.06600660066006601
3,0.09090909090909091,0.7555468082427979,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.07432432432432433,0.07432432432432433
4,0.07142857142857142,0.8177552819252014,0.4,0.07142857142857142,0.07142857142857142,0.05901639344262295,0.05901639344262295
5,0.0,0.7330647110939026,0.3076923076923077,0.0,0.0,0.09116809116809116,0.09116809116809116
6,0.07272727272727272,0.8102295398712158,0.45454545454545453,0.07272727272727272,0.07272727272727272,0.10495626822157436,0.10495626822157436
7,0.0,0.8108311891555786,0.16666666666666666,0.0,0.0,0.061855670103092786,0.061855670103092786
8,0.05128205128205128,0.7839894890785217,0.36363636363636365,0.05128205128205128,0.05128205128205128,0.089171974522293,0.089171974522293
9,0.0,0.7311415672302246,0.3,0.0,0.0,0.10526315789473685,0.10526315789473685
10,0.0,0.7636241316795349,0.25,0.0,0.0,0.10089020771513353,0.10089020771513353
11,0.0,0.7469930648803711,0.5,0.0,0.0,0.10461538461538461,0.10461538461538461
12,0.025641025641025637,0.7605456709861755,0.125,0.025641025641025637,0.025641025641025637,0.07119741100323623,0.07119741100323623
13,0.03389830508474576,0.7182419300079346,0.2857142857142857,0.03389830508474576,0.03389830508474576,0.07766990291262137,0.07766990291262137
14,0.0,0.7297174334526062,0.4,0.0,0.0,0.06369426751592357,0.06369426751592357
15,0.0,0.7674331665039062,0.2857142857142857,0.0,0.0,0.07920792079207921,0.07920792079207921
16,0.061538461538461535,0.8006076216697693,0.2222222222222222,0.061538461538461535,0.061538461538461535,0.09221902017291066,0.09221902017291066
17,0.11764705882352942,0.7595400810241699,0.2222222222222222,0.11764705882352942,0.11764705882352942,0.09999999999999999,0.09999999999999999
18,0.047619047619047616,0.7490601539611816,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.06206896551724138,0.06206896551724138
19,0.0,0.7332397103309631,0.3333333333333333,0.0,0.0,0.10557184750733138,0.10557184750733138
20,0.0,0.792993426322937,0.3,0.0,0.0,0.10429447852760736,0.10429447852760736
21,0.0,0.7292901277542114,0.2222222222222222,0.0,0.0,0.0943952802359882,0.0943952802359882
22,0.0,0.7863479852676392,0.25,0.0,0.0,0.09631728045325778,0.09631728045325778
23,0.0,0.7257269024848938,0.2857142857142857,0.0,0.0,0.08945686900958466,0.08945686900958466
24,0.0,0.7753563523292542,0.42857142857142855,0.0,0.0,0.07947019867549668,0.07947019867549668
25,0.0,0.7346062064170837,0.3333333333333333,0.0,0.0,0.1022364217252396,0.1022364217252396
26,0.0,0.7538747191429138,0.16666666666666666,0.0,0.0,0.06666666666666667,0.06666666666666667
27,0.0,0.7492619156837463,0.2857142857142857,0.0,0.0,0.07476635514018691,0.07476635514018691
28,0.0808080808080808,0.7907172441482544,0.4,0.0808080808080808,0.0808080808080808,0.09316770186335403,0.09316770186335403
29,0.051948051948051945,0.8317674994468689,0.3333333333333333,0.051948051948051945,0.051948051948051945,0.08,0.08
